title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
ドラゴンクイズ,Dragon Quiz,1604,MSX2,COM1047a.bin,COM1047.bmp,COM1047m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1604
ヘラクレスの栄光II,Heracles no Eikou II,1605,FC,PPD0007a.bin,PPD0007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1605
エアロクロス,Aero-Cross,1606,Arcade,BNE0003a.bin,BNE0003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1606
グレイテストドライバー,Greatest Driver,1607,MSX2,TAE1017a.bin,TAE1017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1607
大脱走,Daidassou,1608,MSX,CAR1007a.bin,CAR1007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1608
メルヘンヴェール,Melpool Land,1609,FM-7,SAC0028a.bin,SAC0028.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1609
スーパートリトーン,Super Tritorn,1610,MSX2,CBR1002a.bin,CBR1002.bmp,CBR1002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1610
バトルシティー,Battle City,1611,FC,BNE0004a.bin,BNE0004.bmp,BNE0004m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1611
オルテウスII,Olteus II,1612,X68000,WIN0008a.bin,WIN0008.bmp,WIN0008m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1612
大脱走,Daidassou,1613,PC-6001mkII,CAR0005a.bin,CAR0005.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1613
NEO平安京エイリアン,Neo Heiankyou Alien,1614,FC,CBC0001a.bin,CBC0001.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1614
ナビチューン・ドラゴン航海記,Navitune - Dragon Koukaiki,1615,MSX2,KSK1013a.bin,KSK1013.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1615
ルーンマスターII,Rune Master II,1616,MSX2,COM1048a.bin,COM1048.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1616
3Dゴルフシミュレーション スーパーバージョン,3D Golf Simulation - Super Version,1617,PC-6601,TAE0040a.bin,TAE0040.bmp,TAE0040m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1617
バーガータイム,Burger Time,1618,FC,GMD0032a.bin,GMD0032.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1618
SF特攻警備隊ダイナマイト轟轟(対決編),SF Tokkou Keibi-tai Dynamite Gou Gou (Taiketsu-hen),1619,MSX,RTG0001a.bin,RTG0001.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=1619
